nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Associação Beneficiente Reino de Oxalá Bocum,FONSANPOTMA,Não,Não,Agronomia,Porto Alegre,"Marmita,Refeições coletivas",750,3,"Segunda, Quarta"
Ilê Xangô Ibeji e Ogum Onira,FONSANPOTMA,Não,Não,Algarve,Alvorada,"Marmita,Refeições coletivas",300,2,Quinta
Maria Elaine da Silva,CUT Comunidades,Sim,Não,Americana / Sumare,Alvorada,Marmita,200,5,Quinta
Ilê Reino de Pai Oxalá e Mãe Iemanjá,FONSANPOTMA,Não,Não,Americana / Sumare,Alvorada,"Marmita,Refeições coletivas",200,5,"Segunda, Terça, Quinta"
Mulheres de Fé,CUT Comunidades,Não,Não,Americana / Sumare,Alvorada,Marmita,1.400,3,Quinta
Pequenino de Cristo,CUT Comunidades,Não,Não,Americana / Sumare,Alvorada,Marmita,1.200,3,"Quinta, Sexta"
Andre Cunha,CUT Comunidades,Não,Não,Americana / Sumare,Alvorada,Marmita,1.200,0,"Quinta, Sexta"
Sementinha de Deus,CUT Comunidades,Não,Não,Americana / Sumare,Alvorada,Marmita,1.200,5,"Quinta, Sexta"
Amor a Vida,CUT Comunidades,Não,Não,Americana / Sumare,Alvorada,Marmita,1.400,5,"Quinta, Sexta"
As Guerreiras,Fórum fome zero,Não,Não,Americana / Sumare,Alvorada,Marmita,200,2,Quarta
Alma Generosa,FESANS,Não,Sim,Aparecida,Alvorada,Marmita,700,3,Quinta
Família Kalulu,FONSANPOTMA,Não,Sim,Aparecida,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",1.400,7,Sexta
Cozinha do Bem,FONSANPOTMA,Sim,Não,Aparecida,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos",500,5,Segunda
Ile Axé Faomi,FONSANPOTMA,Não,Não,Aparecida,Alvorada,Marmita,500,5,"Segunda, Terça, Quarta, Quinta, Sexta"
Ylê Xapanã e Obá - Mãe Sônia de Xapanã,FONSANPOTMA,Sim,Não,Aparecida,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos",600,5,"Quinta, Sexta"
Centro Afro Reino de Bara Lode e Iansã Nique,Ação cidadania,Não,Não,Coronel Aparício Borges,Porto Alegre,"Marmita,Refeições coletivas",300,7,Sexta
Associação dos Amigos Artesoes e Pescadores da Ilha da Pintada,Ação cidadania,Sim,Não,Arquipélago,Porto Alegre,"Marmita,Refeições coletivas",600,5,Quinta
Cabo Rocha,Fórum fome zero,Não,Não,Azenha,Porto Alegre,Marmita,100,1,Quarta
Cuidado Que Lancha,FESANS,Não,Não,Azenha,Porto Alegre,Marmita,200,1,"Terça, Quarta"
Ong Casa Oliveira,CUT Comunidades,Não,Não,Bela Vista Alvorada,Alvorada,Marmita,600,3,Quinta
Cozinha Solidária é as Gurias,FESANS,Não,Sim,Bela Vista Alvorada,Alvorada,Marmita,300,2,Sexta
Cozinha Solidária Casa do Povo,FESANS,Sim,Não,Bela Vista Alvorada,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",300,1,Sexta
Ação de Coração - Cozinha Aolidária,FONSANPOTMA,Não,Sim,Belém Velho,Porto Alegre,Refeições coletivas,400,5,"Segunda, Terça"
Pequeno Mundo,FESANS,Não,Não,Belém Velho,Porto Alegre,Marmita,3.500,6,Quinta
Comida da Mesa,FESANS,Não,Não,Belém Velho,Porto Alegre,"Marmita,Refeições coletivas",700,6,"Terça, Quinta"
Cozinha Nossa Senhora de Fátima,Multiplicidade,Não,Sim,Bom Jesus,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,900,3,Quinta
Artemae,MNLM,Não,Não,Bom Jesus,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,750,3,Sexta
Quilombinho Cozinha Solidaria,MNLM,Não,Não,Bom Jesus,Porto Alegre,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",400,3,Sexta
Associação União José Madrid,Ação cidadania,Sim,Não,Bom Jesus,Porto Alegre,Marmita,240,3,Quinta
Centro de Educação Ambiental,FESANS,Sim,Não,Bom Jesus,Porto Alegre,"Marmita,Refeições coletivas",400,6,"Segunda, Quarta, Sexta"
Griô - Cozinha Comunitaria,Multiplicidade,Não,Não,Bom Jesus,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,5,Terça
Quilombo Santa Luzia,FESANS,Não,Não,Cascata,Porto Alegre,"Marmita,Refeições coletivas",1.500,7,"Segunda, Terça, Quarta, Quinta, Sexta"
Centro Africano de Oxum Panda,FONSANPOTMA,Não,Não,Cascata,Porto Alegre,"Marmita,Refeições coletivas",600,2,Quinta
Jocelaine Santo,CUT Comunidades,Sim,Não,Cascata,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",250,2,"Segunda, Terça"
Cozinha Mãos Que Acolhem Canudos,Multiplicidade,Sim,Não,Cascata,Porto Alegre,Outro,500,5,"Segunda, Terça, Quarta, Quinta, Sexta"
Marcelo Luis Velho,FONSANPOTMA,Sim,Não,Cavalhada,Porto Alegre,Marmita,300,3,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado"
Ylê Africano de Oxalá e Yemanjá Axé de Xapana,FONSANPOTMA,Não,Sim,Cavalhada,Porto Alegre,Marmita,100,2,Quinta
Novo Amanhã,Fórum fome zero,Não,Não,Cavalhada,Porto Alegre,Marmita,64,1,Quarta
Cozinha Resistência,MNLM,Não,Não,Centro Histórico,Porto Alegre,"Marmita,Refeições coletivas",2.400,7,Sexta
Ocupação Periferia No Centro,União Nacional por moradia popular,Não,Não,Centro Histórico,Porto Alegre,"Marmita,Refeições coletivas",700,7,Quinta
Centro de Referência Indigena,A fome tem pressa,Sim,Não,Centro Histórico,Porto Alegre,Refeições coletivas,350,7,Sexta
Cria - Centro de Referência Indígena,A fome tem pressa,Sim,Não,Centro Histórico,Porto Alegre,Refeições coletivas,100,7,Sexta
Cozinha Redentor,MTD,Não,Não,Cidade Baixa,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",500,3,Segunda
Solidariedade Em Ação,MTD,Sim,Não,Cidade Verde Eldorado,Eldorado do Sul,Marmita,280,5,Segunda
Joel Lima,CUT Comunidades,Não,Sim,Cristal,Porto Alegre,Marmita,200,5,Quinta
Cozinha Quem Planta Colhe,MNLM,Não,Não,Duque de Caxias,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,6,Sexta
Cozinha Tenda do Encontro,MNLM,Não,Não,Duque de Caxias,São Leopoldo,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",600,6,Sexta
Cozinha Guerreiros e Guerreiras da Justo,MNLM,Não,Não,Duque de Caxias,São Leopoldo,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",600,6,Sexta
Associação Vaga-Lume da Esperança Vila Novq,Fórum fome zero,Não,Não,Ermo,Guaíba,Marmita,280,2,Quarta
Ylê Mãe Iansa Funique,FONSANPOTMA,Não,Não,Farrapos,Porto Alegre,"Marmita,Refeições coletivas,Outro",250,3,Sexta
Templo de Oxalá e Cabocla Iara,FONSANPOTMA,Não,Não,Farrapos,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,300,3,"Quinta, Sexta"
Cozinha Comunitária Moradas do Sol,União Nacional por moradia popular,Sim,Não,Fazenda São Borja,São Leopoldo,Refeições coletivas,500,3,Sexta
Cozinha Prato Feito Vila Fundão,MNLM,Não,Não,Feitoria,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,6,Sexta
Cozinha Coop20,MNLM,Não,Não,Floresta,Porto Alegre,Marmita,500,2,Sexta
Associação Reciclando Pela Vida,Ação cidadania,Sim,Não,Floresta,Porto Alegre,"Marmita,Refeições coletivas",150,5,Sexta
Associação Vomunitaria Mulheres Pela Luta,Ação cidadania,Sim,Não,Floresta,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,400,4,"Segunda, Terça, Quarta, Quinta, Sexta"
Associação Anjos da Ecologia,Ação cidadania,Sim,Não,Floresta,Porto Alegre,"Marmita,Refeições coletivas",150,7,Sexta
Cozinha Solidária Templo de Ogum e Oxum,CUT Comunidades,Não,Sim,Formosa / Maria Regina,Alvorada,Marmita,1.200,6,Sexta
